gene_id,GSM6765254,GSM6765268,GSM6765281,GSM6765294,GSM6765307,GSM6765321,GSM6765335,GSM6765349,GSM6765363,GSM6765379,GSM6765393,GSM6765408
ENSG00000159259,4.31302661,3.667559295,2.843427325,9.012610593,2.940563533,7.237824886,8.964097572,13.44479053,7.592011564,6.130371062,6.25082684,7.110309225
ENSG00000159261,0,0,0,0,0.572804987,0,0,0,0,0,0,0
ENSG00000159263,0,0,0,0.749679995,0.177890675,0.917411268,0.165698805,0.156961986,0.459282056,0.194259725,0.18907325,0.205719734
ENSG00000159267,9.841915566,9.194699928,10.08731284,4.008778118,4.669714785,3.344789148,16.75429366,17.54953988,15.77747483,4.721676038,4.595613597,3.600160538
ENSG00000159289,0,0.148353326,0,0,1.167835788,0,0,0.686960591,0,0,0,0
ENSG00000159307,0.049081384,0,0,0.118586981,0,0,0,0,0,0,0,0
ENSG00000159314,20.54356732,19.47550046,22.48058479,13.5120004,12.82498609,12.82316747,42.29864879,42.14683763,36.15271342,17.86365925,13.07481601,14.22595567
ENSG00000159322,15.49857035,17.92877831,18.10742079,27.14572174,27.37584826,26.9906231,35.14233902,38.36398657,39.39841397,27.13151,35.45402375,30.86038809
ENSG00000159335,200.6778071,193.5761197,210.7477013,193.5658901,193.630771,254.2909618,276.8318449,297.9946623,323.9792798,157.3567884,172.300019,187.4697458
ENSG00000159337,47.63416026,43.24732959,52.08006607,15.08465119,9.279975082,14.6993495,7.656083335,10.99557452,7.758231276,28.08536587,22.54476217,23.91641821
ENSG00000159339,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000159346,335.611219,318.1172102,338.7730987,171.7809948,163.9234286,176.309176,253.1204937,237.8405198,224.4354377,187.1439407,197.5205058,180.9507609
ENSG00000159348,210.6531832,205.2150597,209.6480369,35.81785887,52.51277328,34.43914957,65.59534625,62.40452404,58.77686372,71.59821392,74.84861042,60.02576898
ENSG00000159352,115.0815116,106.8472312,108.1951495,60.31184224,63.55580726,51.72220463,72.21555711,74.77135974,73.70462939,47.2538225,59.40660275,67.24323636
ENSG00000159363,32.61941486,34.69492319,36.19234251,31.74401698,24.4156899,38.51145101,79.84013803,96.25687094,86.0611045,37.4407607,28.98727238,30.93863451
ENSG00000159374,0,0,0.241880884,0,0,0,1.694546445,0,0,0,0,0.525956787
ENSG00000159377,255.2047879,255.7070282,266.467365,158.2953718,156.6676898,148.1813473,217.1013033,223.2169335,253.6339223,211.7513277,223.8413737,230.925968
ENSG00000159387,0,0.229469729,0,0,0,0,0,0,0,0,0,0
ENSG00000159388,329.5287798,324.3028184,339.5281186,103.7594365,114.3204069,119.9555995,142.9024477,141.4809914,144.8090611,125.3803138,119.4028091,120.1859904
