"","GSM6765254","GSM6765268","GSM6765281","GSM6765294","GSM6765307","GSM6765321","GSM6765335","GSM6765349","GSM6765363","GSM6765379","GSM6765393","GSM6765408"
"ENSG00000128607",40.5223040470247,38.519517131159,40.0937418278703,26.5395567512113,27.5309099226777,35.3427764438317,37.2076174829077,40.7910679575578,34.2053286756545,30.629943096359,26.1111717109744,28.1561351788407
"ENSG00000128609",11.256195568618,10.1963427700127,8.9097204061934,8.84651891707042,12.1136003659782,6.62677058321845,4.46491409794892,4.44993468627904,3.71797050822332,8.16798482569573,8.35557494751179,7.2997387500698
"ENSG00000128626",54.0297387293663,49.8487868756176,54.5720374879346,16.587222969507,14.3160731597924,16.5669264580461,20.0921134407701,25.9579523366277,26.0257935575632,17.3569677546034,10.4444686843897,17.7279369644552
"ENSG00000128641",105.808238345009,111.026843495694,109.144074975869,45.3384094499859,41.84698308247,45.2829323186594,61.0204926719685,63.7823971699995,58.0003399282838,59.217889986294,54.3112371588267,50.0553514290501
"ENSG00000128645",0,0,0,0,1.10123639690711,0,6.69737114692338,4.44993468627904,4.46156460986798,3.0629943096359,0,0
"ENSG00000128654",100.1801405607,109.893916521248,98.0069244681274,43.1267797207183,45.1506922731914,38.6561617354409,47.6257503781218,59.3324624837205,56.5131517249945,44.9239165413265,42.8223216059979,25.027675714525
"ENSG00000128656",0,0,0,5.52907432316901,4.40494558762843,5.52230881934871,1.48830469931631,2.22496734313952,3.71797050822332,5.10499051605983,6.26668121063384,5.21409910719272
"ENSG00000128683",0,0,0,0,1.10123639690711,1.10446176386974,0.744152349658153,0.741655781046506,0.743594101644664,1.02099810321197,1.04444686843897,1.04281982143854
"ENSG00000128694",7.87933689803259,6.79756184667512,7.79600535541923,0,1.10123639690711,1.10446176386974,1.48830469931631,0.741655781046506,2.97437640657866,3.0629943096359,1.04444686843897,2.08563964287709
"ENSG00000128699",32.6429671489922,37.3865901567132,32.2977364724511,24.3279270219436,28.6321463195848,23.1936970412646,57.2997309236778,49.6909373301159,49.0772107085478,33.6929374059949,22.9778311056574,25.027675714525
"ENSG00000128708",23.6380106940978,22.6585394889171,20.0468709139352,23.2221121573098,22.0247279381421,18.7758499857856,8.92982819589784,8.89986937255807,11.8975056263146,22.4619582706633,19.8444905003405,20.8563964287709
"ENSG00000128731",13.5074346823416,12.4621967189044,13.3645806092901,6.63488918780281,7.70865477834974,8.83569411095793,15.6271993428212,17.7997387451161,17.1026643378273,10.2099810321197,10.4444686843897,11.471018035824
"ENSG00000128739",7.87933689803259,5.66463487222927,4.4548602030967,1.1058148646338,2.20247279381421,3.31338529160922,4.46491409794892,4.44993468627904,5.94875281315731,6.1259886192718,4.1777874737559,2.08563964287709
"ENSG00000128789",51.7784996156427,47.5829329267259,49.0034622340637,19.9046675634084,24.2272007319563,19.8803117496553,40.9283792311984,29.6662312418602,37.9232991838779,23.4829563738752,14.6222561581456,28.1561351788407
"ENSG00000128791",28.140488921545,30.5890283100381,26.7291612185802,58.6081878255915,57.2642926391695,56.3275499573568,42.4166839305147,50.4325931111624,48.3336166069032,27.5669487867231,35.5111935269251,40.6699730361032
"ENSG00000128805",1.1256195568618,1.13292697444585,1.11371505077418,0,1.10123639690711,0,1.48830469931631,1.48331156209301,0.743594101644664,1.02099810321197,0,0
"ENSG00000128829",25.8892498078214,23.7914664633629,23.3880160662577,12.1639635109718,8.80989117525685,6.62677058321845,27.5336369373517,25.9579523366277,28.2565758624972,11.2309791353316,11.4889155528287,14.5994775001396
"ENSG00000128833",1.1256195568618,1.13292697444585,0,2.2116297292676,2.20247279381421,2.20892352773948,2.23245704897446,2.96662312418602,3.71797050822332,2.04199620642393,1.04444686843897,2.08563964287709
"ENSG00000128849",1.1256195568618,0,1.11371505077418,2.2116297292676,1.10123639690711,1.10446176386974,0,0,0,2.04199620642393,1.04444686843897,1.04281982143854
"ENSG00000128872",6.75371734117079,6.79756184667512,7.79600535541923,1.1058148646338,2.20247279381421,1.10446176386974,8.18567584623968,6.67490202941856,8.92312921973597,1.02099810321197,2.08889373687795,2.08563964287709
"ENSG00000128881",6.75371734117079,6.79756184667512,6.68229030464505,26.5395567512113,31.9358555103061,27.6115440967435,13.3947422938468,14.0914598398836,14.8718820328933,23.4829563738752,24.0222779740964,27.1133153574021
"ENSG00000128886",46.1504018313337,57.7792756967386,53.4583224371604,16.587222969507,20.923491541235,12.1490794025672,36.4634651332495,37.0827890523253,47.5900225052585,18.3779658578154,10.4444686843897,10.4281982143854
"ENSG00000128891",2.2512391137236,2.26585394889171,3.34114515232253,7.74070405243662,9.91112757216396,9.94015587482767,6.69737114692338,5.19159046732554,7.43594101644664,8.16798482569573,10.4444686843897,10.4281982143854
"ENSG00000128908",24.7636302509596,24.9243934378088,24.5017311170319,210.104824280422,183.906478283487,193.280808677205,66.2295591195756,69.7156434183716,70.6414396562431,149.065723068947,134.733646028628,156.422973215781
"ENSG00000128915",7.87933689803259,7.93048882112098,7.79600535541923,3.31744459390141,4.40494558762843,4.41784705547896,6.69737114692338,5.93324624837205,6.69234691480198,5.10499051605983,6.26668121063384,5.21409910719272
"ENSG00000128918",0,0,0,17.6930378341408,16.5185459536066,23.1936970412646,2.23245704897446,1.48331156209301,0.743594101644664,6.1259886192718,4.1777874737559,6.25691892863126
"ENSG00000128923",14.6330542392034,14.7280506677961,14.4782956600643,18.7988526987746,20.923491541235,16.5669264580461,26.0453322380354,21.5080176503487,25.2821994559186,14.2939734449675,18.8000436319015,17.7279369644552
"ENSG00000128928",2.2512391137236,2.26585394889171,2.22743010154835,0,1.10123639690711,0,1.48830469931631,3.70827890523253,2.23078230493399,1.02099810321197,0,1.04281982143854
"ENSG00000128944",18.0099129097888,22.6585394889171,18.933155863161,6.63488918780281,1.10123639690711,8.83569411095793,12.6505899441886,11.1248367156976,17.1026643378273,5.10499051605983,5.22223434219487,10.4281982143854
"ENSG00000128951",38.2710649333011,40.7853710800507,38.9800267770961,13.2697783756056,13.2148367628853,9.94015587482767,14.1388946435049,11.1248367156976,14.1282879312486,16.3359696513915,10.4444686843897,13.5566576787011
"ENSG00000128965",7.87933689803259,7.93048882112098,6.68229030464505,63.0314472841267,58.3655290360766,79.5212469986214,148.830469931631,172.064141202789,151.693196735511,58.1968918830821,56.4001308957046,52.1409910719272
