"","GSM6765207","GSM6765208","GSM6765209","GSM6765210","GSM6765211","GSM6765212","GSM6765213","GSM6765214","GSM6765215","GSM6765225","GSM6765240"
"12743",123.903612410902,121.096117272724,132.655396500831,124.381042880696,108.563687255482,121.392083094387,142.452023252202,135.23900055394,146.114754069938,143.32152633333,133.89187383558
"12744",2.01469288473011,0.984521278640032,3.9305302666913,2.89258239257434,1.90462609220143,1.97385500966483,0.996167994770642,1.97429197888964,2.11760513144838,3.13842758394153,2.05987498208585
"12745",16.1175430778409,15.7523404582405,14.7394885000924,20.2480767480203,19.998573968115,17.7646950869834,16.9348559111009,16.781481820562,21.1760513144838,19.8767080316297,20.5987498208585
"12746",6.04407865419034,5.90712767184019,4.91316283336412,2.89258239257434,4.76156523050358,5.92156502899448,2.98850398431193,5.92287593666892,4.23521026289675,4.18457011192204,3.08981247312877
"12747",3.02203932709517,3.93808511456013,2.94789770001847,3.85677652343245,4.76156523050358,2.96078251449724,2.98850398431193,3.94858395777928,3.17640769717256,3.13842758394153,3.08981247312877
"12748",2.01469288473011,0.984521278640032,0.982632566672824,0.964194130858112,1.90462609220143,0.986927504832414,0.996167994770642,0.987145989444821,1.05880256572419,1.04614252798051,1.02993749104292
"12749",3.02203932709517,1.96904255728006,1.96526513334565,1.92838826171622,1.90462609220143,1.97385500966483,1.99233598954128,1.97429197888964,2.11760513144838,1.04614252798051,2.05987498208585
"12750",74.5436367350142,86.6378725203228,77.6279727671531,87.7416659080882,70.471165411453,78.9542003865931,79.6934395816514,80.9459711344753,76.2337847321415,75.3222620145967,87.5446867386486
"12751",1.00734644236506,0.984521278640032,1.96526513334565,0.964194130858112,0.952313046100716,0.986927504832414,0.996167994770642,0.987145989444821,1.05880256572419,1.04614252798051,2.05987498208585
"12752",1.00734644236506,1.96904255728006,2.94789770001847,2.89258239257434,2.85693913830215,1.97385500966483,0.996167994770642,1.97429197888964,2.11760513144838,2.09228505596102,1.02993749104292
"12753",12.0881573083807,13.7832979009604,13.7568559334195,13.4987178320136,11.4277565532086,14.8039125724862,14.9425199215596,14.8071898416723,19.0584461830354,20.9228505596102,20.5987498208585
"12754",5.03673221182528,3.93808511456013,5.89579540003694,4.82097065429056,5.7138782766043,4.93463752416207,4.98083997385321,3.94858395777928,5.29401282862094,6.27685516788306,5.14968745521462
"12755",47.3452827911577,47.2570213747215,47.1663632002955,46.2813182811894,40.9494609823308,43.4248102126262,44.8275597646789,46.3958615039066,51.8813257204852,47.076413759123,52.5268120431891
"12756",4.02938576946023,2.9535638359201,2.94789770001847,3.85677652343245,5.7138782766043,2.96078251449724,4.98083997385321,2.96143796833446,4.23521026289675,2.09228505596102,4.1197499641717
"12757",10.0734644236506,10.8297340650404,12.7742233667467,11.5703295702973,10.4754435071079,9.86927504832414,12.9501839320184,11.8457518733378,9.52922309151769,10.4614252798051,10.2993749104292
"12758",57.4187472148082,61.040319275682,55.0274237336781,59.7800361132029,52.3772175355394,53.2940852609503,56.7815757019266,58.2416133772444,47.6461154575885,42.8918436472009,40.167562150674
"12759",48.3526292335227,46.2725000960815,80.5758704671716,78.099724599507,76.1850436880573,89.8104029397496,94.635959503211,85.8817010816994,76.2337847321415,77.4145470705578,75.1854368461335
"12760",48.3526292335227,48.2415426533616,44.2184655002771,47.2455124120475,43.8064001206329,50.3333027464531,56.7815757019266,51.3315914511307,42.3521026289675,42.8918436472009,39.1376246596311
"12761",82.6024082739346,84.6688299630428,74.6800750671346,79.0639187303652,78.0896697802587,80.9280553962579,79.6934395816514,78.9716791555857,73.057377034969,70.0915493746942,70.0357493909189
"12762",3.02203932709517,1.96904255728006,2.94789770001847,2.89258239257434,1.90462609220143,1.97385500966483,2.98850398431193,1.97429197888964,2.11760513144838,2.09228505596102,4.1197499641717
"12763",17.124889520206,17.7213830155206,15.7221210667652,10.6061354394392,13.33238264541,12.8300575628214,16.9348559111009,17.7686278100068,12.7056307886903,12.5537103357661,17.5089373477297
"12764",21.1542752896662,19.6904255728006,21.6179164668021,20.2480767480203,25.7124522447193,19.7385500966483,18.9271919006422,21.7172117677861,21.1760513144838,19.8767080316297,19.5688123298156
"12765",149.087273470028,129.956808780484,134.620661634177,127.273625273271,121.896069900892,115.470518065392,128.505671325413,129.316124617272,141.879543807041,146.459953917271,134.921811326623
"12766",5.03673221182528,3.93808511456013,4.91316283336412,5.78516478514867,5.7138782766043,4.93463752416207,4.98083997385321,4.9357299472241,4.23521026289675,4.18457011192204,4.1197499641717
"12767",2.01469288473011,1.96904255728006,1.96526513334565,1.92838826171622,1.90462609220143,1.97385500966483,1.99233598954128,1.97429197888964,1.05880256572419,1.04614252798051,2.05987498208585
"12768",3.02203932709517,3.93808511456013,3.9305302666913,3.85677652343245,3.80925218440286,3.94771001932965,3.98467197908257,3.94858395777928,3.17640769717256,3.13842758394153,3.08981247312877
"12769",33.2424325980469,39.3808511456013,35.3747724002217,39.5319593651826,38.0925218440287,38.4901726884641,38.850551796055,37.5115475989032,37.0580898003466,37.6611310072984,39.1376246596311
"12770",64.4701723113636,59.0712767184019,60.9232191337151,63.6368126366354,63.804974088748,61.1895052996096,59.7700796862385,55.28017540891,60.3517462462787,63.8146942068111,61.7962494625755
"12771",27.1983539438565,26.5820745232809,24.5658141668206,23.1406591405947,25.7124522447193,26.6470426304752,25.9003678640367,25.6657957255653,26.4700641431047,26.1535631995128,25.7484372760731
"12772",379.769608771626,391.839468898733,375.365640469019,372.178934511231,354.260453149466,399.705639457127,405.440373871651,398.806979735708,501.872416153265,509.471411126509,514.968745521462
"12773",2.01469288473011,2.9535638359201,1.96526513334565,2.89258239257434,2.85693913830215,1.97385500966483,2.98850398431193,1.97429197888964,3.17640769717256,3.13842758394153,2.05987498208585
"12774",3.02203932709517,4.92260639320016,2.94789770001847,3.85677652343245,2.85693913830215,6.9084925338269,1.99233598954128,2.96143796833446,1.05880256572419,3.13842758394153,3.08981247312877
"12775",21.1542752896662,22.6439894087207,26.5310793001662,26.9974356640271,26.6647652908201,24.6731876208103,23.9080318744954,30.6015256727894,24.3524590116563,28.2458482554738,29.8681872402448
"12776",1.00734644236506,0.984521278640032,0.982632566672824,1.92838826171622,1.90462609220143,0.986927504832414,0.996167994770642,0.987145989444821,1.05880256572419,1.04614252798051,1.02993749104292
