"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"34087",-5.69663392857143,-0.726397959183674,-17.1531304994518,3.12767633828219e-11,8.89897127325439e-09,16.1718983809782
"39495",-5.02224255952381,-0.668954081632653,-17.1486392477563,3.13936558901814e-11,8.89897127325439e-09,16.1682319075236
"1695",-7.24860119047619,-1.79240306122449,-17.1175320915589,3.2216139793718e-11,9.05963874056199e-09,16.1428096460579
"25996",-6.09855952380952,-2.06302806122449,-17.0746933279505,3.3386535177976e-11,9.25332966898768e-09,16.1077204414543
"2588",-8.27938988095238,-1.09266326530612,-17.073233546607,3.34272062097599e-11,9.25332966898768e-09,16.1065231125841
"28700",-8.07619642857143,-1.6794693877551,-17.0286827933536,3.46941342423123e-11,9.52959115199884e-09,16.0699305032911
"19736",-4.99018898809524,-0.443566326530612,-17.0056267163961,3.53697700020197e-11,9.56547471061947e-09,16.0509536415068
"6233",-7.58233630952381,-1.8424362244898,-17.002100021514,3.54743444876322e-11,9.56547471061947e-09,16.0480485401673
"2629",-5.14277827380952,0.884900510204082,-16.9967151517911,3.56346530579339e-11,9.56547471061947e-09,16.0436115601837
"14335",-8.1005818452381,-2.27466581632653,-16.9631045684716,3.66528238395612e-11,9.72824880558732e-09,16.01588418314
"43125",-5.64055952380952,-0.718010204081633,-16.9585005526284,3.67946862159027e-11,9.72824880558732e-09,16.0120815914608
"2591",-6.97034970238095,-1.40231887755102,-16.9497893743031,3.70647020786918e-11,9.72824880558732e-09,16.0048838264698
"23331",-7.83407886904762,-1.61221173469388,-16.9023804708958,3.85716365474787e-11,1.00493293954913e-08,15.9656436452462
"20592",-7.18461458333333,-0.792589285714286,-16.8813416497765,3.92611312361486e-11,1.01543041101493e-08,15.94819313468
"16097",-8.05540178571428,-0.780336734693878,-16.8257523221631,4.11467907096474e-11,1.05648857624271e-08,15.9019757913442
"21521",-8.03294642857143,-1.82393367346939,-16.6954968575449,4.59529762152467e-11,1.17140417714736e-08,15.7930561632582
"7129",-4.46604464285714,0.60015306122449,-16.6821438998134,4.64783964046802e-11,1.17633501414788e-08,15.7818406454704
"40399",-6.21142113095238,-1.42939540816327,-16.6075050502774,4.95354553040277e-11,1.24481545233164e-08,15.7189777514208
"8929",-6.73656398809524,-0.869227040816327,-16.5954104207348,5.00506396679313e-11,1.24890444743226e-08,15.7087638143323
"38587",-5.53028422619048,-0.0767576530612244,-16.3766528615875,6.04224554944422e-11,1.49716703883536e-08,15.5226853351349
"15197",-7.0437619047619,-2.7302806122449,-16.3649929301933,6.10359024943319e-11,1.50186467575115e-08,15.5126955173285
"33191",-6.02036904761905,-0.811984693877551,-16.2509350967079,6.73981891450828e-11,1.64697933515705e-08,15.4145878051054
"30531",-6.88371577380952,-1.40711734693878,-16.2409243559106,6.79893336985156e-11,1.65004524721884e-08,15.405943322516
"22428",-4.82850744047619,0.632436224489796,-16.1719022422956,7.2218271835974e-11,1.74075511970345e-08,15.3461924910428
"3515",-7.40732738095238,-1.79607397959184,-16.1520257427202,7.34873257011657e-11,1.75937595376311e-08,15.3289375135409
"7091",-7.15854613095238,-1.66425255102041,-16.108060532563,7.63793824696437e-11,1.81634272419254e-08,15.2906937521012
"23291",-7.5400431547619,-1.54449489795918,-16.0801448999173,7.82783320952884e-11,1.84670101499994e-08,15.2663556254102
"43133",-6.27783928571429,-2.17565816326531,-16.0740677122074,7.86983470959248e-11,1.84670101499994e-08,15.2610515453553
"33231",-6.23610416666667,-0.952678571428571,-16.0652687743043,7.9310723608614e-11,1.84882688791054e-08,15.2533683389832
"28719",-8.05061904761905,-2.60787755102041,-16.0285558866694,8.19210330055425e-11,1.89719474672247e-08,15.2212644315491
"25113",-8.92108035714286,-1.56377806122449,-16.0048619788748,8.365408081727e-11,1.91476219606549e-08,15.2005053145991
"9790",-3.74500297619048,0.118063775510204,-16.0034257601773,8.37603760308612e-11,1.91476219606549e-08,15.1992459848537
"21537",-6.70502232142857,-2.88572704081633,-15.9819875181598,8.53642179913182e-11,1.93891688210665e-08,15.1804344651921
"23330",-6.67762202380952,-1.60042091836735,-15.9338190668309,8.90881388650396e-11,2.01061148051271e-08,15.1380741401696
"38625",-5.65097023809524,-0.468744897959183,-15.902620167404,9.15920416704117e-11,2.05403848892892e-08,15.1105677444993
"4386",-8.63181398809524,-0.95245918367347,-15.8763915860798,9.37549503970073e-11,2.08177762846812e-08,15.0874010225704
"5287",-7.07286011904762,-0.477229591836735,-15.8670807617475,9.45357634218785e-11,2.08177762846812e-08,15.0791677878847
"28729",-6.4543556547619,-1.45431632653061,-15.8664188029793,9.45915384481604e-11,2.08177762846812e-08,15.0785822545979
"7127",-6.92095535714286,-0.743349489795919,-15.8488694133163,9.60830400593685e-11,2.10154960396519e-08,15.0630499710067
"34140",-5.57611458333333,-1.24883928571429,-15.824824705799,9.81673023687417e-11,2.13396443241204e-08,15.0417406270752
"35926",-5.60287797619048,-0.953186224489796,-15.8178886773895,9.87774314226346e-11,2.13413458999891e-08,15.0355875604453
"2631",-7.13576785714286,-1.46011734693878,-15.7897550926168,1.0129386568186e-10,2.16875612073901e-08,15.0106017629288
"38585",-5.69354910714286,-0.552938775510204,-15.7863391453455,1.01604017735635e-10,2.16875612073901e-08,15.007564951259
"8057",-7.42508482142857,-1.87454846938776,-15.7336329468527,1.0651965201388e-10,2.26006636515437e-08,14.9606242457063
"43093",-6.15215922619048,-2.1574362244898,-15.6672513145121,1.13073300600821e-10,2.38483705963624e-08,14.9012776742009
"27843",-4.77775744047619,-0.344456632653061,-15.6392042527875,1.15969940979435e-10,2.43145734835759e-08,14.8761267988437
"7092",-6.15310416666667,-0.793410714285715,-15.6299169113013,1.16946422458395e-10,2.43750740409901e-08,14.867788471214
"32311",-7.35058035714286,-0.533760204081632,-15.6187119632468,1.18136172443989e-10,2.44790584690518e-08,14.8577218437469
"38593",-6.08878571428571,-1.99080612244898,-15.608926332211,1.19185746782127e-10,2.45529567775065e-08,14.8489243966381
"15196",-5.82399404761905,-0.625645408163265,-15.5996208699847,1.20193019754542e-10,2.46146053960271e-08,14.8405534807462
"40437",-6.30797470238095,-1.29171173469388,-15.5933733147909,1.20874363980152e-10,2.46146053960271e-08,14.8349305482095
"32294",-4.17586011904762,-0.73644387755102,-15.5189781763727,1.29310883820647e-10,2.61629815579738e-08,14.7677987971501
"32291",-5.68518452380953,-0.933492346938776,-15.5074094998155,1.30678064914683e-10,2.61629815579738e-08,14.7573305775085
"4395",-5.95505803571429,-1.24412244897959,-15.5072832019939,1.30693075262083e-10,2.61629815579738e-08,14.7572162503907
"8898",-6.32818005952381,-1.17290051020408,-15.4845602431906,1.33423735803525e-10,2.65595687119454e-08,14.7366317956086
"18836",-8.30841071428572,-2.98385969387755,-15.4400854126551,1.38945453029034e-10,2.7491716797301e-08,14.6962548138034
"7087",-7.01979464285714,-0.792204081632653,-15.4292520779022,1.40326916307948e-10,2.7491716797301e-08,14.6864020049941
"1686",-8.74850446428571,-1.08452040816327,-15.4284164551132,1.40434079539172e-10,2.7491716797301e-08,14.6856417268351
