,log2FoldChange,AveExpr,t,P.Value,padj,B
88,0.791872917,2.07715768,1.790329552,0.082006116,0.161526279,-6.064059421
26568,-0.244152877,-0.270795343,-1.790100149,0.082043655,0.161592752,-6.064445561
30951,-0.442669643,-0.013414624,-1.789957381,0.082067025,0.161618963,-6.064685854
27117,-0.30788621,-0.631339869,-1.789945665,0.082068943,0.161618963,-6.064705572
32045,-0.226563492,0.203257761,-1.78990491,0.082075615,0.161618963,-6.064774163
5990,-0.246935913,-0.476948938,-1.789893131,0.082077544,0.161618963,-6.064793987
9198,-0.193783631,-0.229816176,-1.789888243,0.082078344,0.161618963,-6.064802213
552,-0.308609425,-0.954561275,-1.789879881,0.082079713,0.161618963,-6.064816288
31634,-0.190141964,-0.850583333,-1.789738352,0.082102889,0.161657129,-6.06505447
24774,-0.218032143,-0.014436275,-1.789707222,0.082107987,0.1616597,-6.065106858
25718,0.198345734,-0.104540033,1.789634474,0.082119902,0.16167208,-6.065229279
31650,-0.424737897,0.930214869,-1.789599712,0.082125597,0.16167208,-6.065287775
2939,-0.470414583,-0.915195261,-1.78959936,0.082125654,0.16167208,-6.065288366
13128,-0.191021429,0.070960784,-1.789559704,0.08213215,0.161677402,-6.065355098
41326,-0.850641766,1.288018382,-1.789519533,0.082138731,0.161682889,-6.065422694
10889,0.286921825,-0.577269608,1.789413254,0.082156145,0.161709698,-6.065601525
5634,-0.255475099,-0.983808824,-1.78931673,0.082171962,0.161733364,-6.065763934
37646,-0.347142361,-1.098951389,-1.789190524,0.082192648,0.161766608,-6.065976275
22551,0.236494742,0.141775327,1.789166455,0.082196594,0.161766904,-6.066016769
36101,0.20277004,0.572892157,1.789061005,0.082213881,0.161783853,-6.066194175
30264,-0.584406647,-0.848299837,-1.789035212,0.082218111,0.161783853,-6.066237568
19183,-0.242163988,-0.792451389,-1.789033671,0.082218363,0.161783853,-6.06624016
18033,0.255836706,0.546787582,1.789021322,0.082220388,0.161783853,-6.066260936
15668,-0.432908433,-2.581477941,-1.788980586,0.082227068,0.161789528,-6.066329466
42029,-0.364258631,-1.052863154,-1.788847192,0.082248944,0.161825101,-6.066553864
14208,-0.263928869,0.664489379,-1.788630697,0.08228446,0.161887505,-6.066918027
10953,-0.215407341,-1.386642974,-1.788359637,0.082328944,0.161962407,-6.067373922
20493,0.501766468,-0.123923611,1.788352302,0.082330148,0.161962407,-6.067386258
13379,-0.175308135,-0.451055147,-1.788329264,0.08233393,0.161962407,-6.067425002
1251,-0.274585317,1.833352124,-1.788256603,0.082345859,0.161978397,-6.067547198
29843,-0.173562798,0.539580882,-1.788089665,0.082373271,0.162024841,-6.067827929
4672,-0.211662103,0.75166585,-1.787996891,0.082388508,0.162034822,-6.067983931
31384,-0.397690774,1.548702614,-1.787993067,0.082389136,0.162034822,-6.067990362
