,log2FoldChange,AveExpr,t,P.Value,padj,B
21865,-1.180074219,-1.664166667,-5.017111611,0.000231748,0.001681926,0.036396135
24980,-1.723324219,-1.643265625,-5.01697287,0.000231805,0.001681926,0.036142341
39561,1.234660156,-0.963395833,5.016924639,0.000231825,0.001681926,0.036054114
35589,-1.054933594,-1.455515625,-5.016739878,0.000231901,0.00168219,0.035716135
1632,-0.901699219,-0.44459375,-5.016006468,0.000232203,0.00168409,0.034374481
10673,-1.344710938,-0.155236979,-5.015711571,0.000232324,0.001684684,0.033834998
1612,-1.598195313,1.521111979,-5.015376158,0.000232462,0.001685398,0.033221381
38779,1.083042969,-0.945747396,5.015184234,0.000232541,0.001685685,0.032870264
40529,1.481378906,-0.645429688,5.014723906,0.000232731,0.001686773,0.032028091
21843,-0.946453125,0.499273438,-5.014601363,0.000232781,0.001686852,0.031803894
42803,-1.486183594,-1.524773438,-5.014111553,0.000232983,0.001688029,0.030907748
13782,-1.017402344,-1.306302083,-5.013830264,0.000233099,0.001688584,0.030393097
5724,0.946945313,-0.1520625,5.013579393,0.000233203,0.001689047,0.029934089
31107,-1.1791875,-0.953054688,-5.013366933,0.000233291,0.001689396,0.029545355
14878,-0.880414063,-0.272643229,-5.012588578,0.000233613,0.00169144,0.028121165
20477,-1.110132813,-2.302661458,-5.012432986,0.000233677,0.001691475,0.027836464
1143,-1.152683594,1.065018229,-5.012385318,0.000233697,0.001691475,0.02774924
2144,-0.908378906,0.908351563,-5.012148747,0.000233795,0.001691896,0.027316356
13859,-0.937761719,-0.021044271,-5.011805029,0.000233937,0.00169264,0.0266874
12110,-2.147066406,2.911736979,-5.011210674,0.000234184,0.001693981,0.02559978
12629,1.493652344,-0.829705729,5.011166546,0.000234202,0.001693981,0.025519027
40484,-2.808179688,-0.092919271,-5.010555966,0.000234456,0.001695527,0.02440167
2057,-1.676179688,2.396296875,-5.009578663,0.000234862,0.001698177,0.022613117
9627,-1.527625,2.352205729,-5.009402749,0.000234935,0.001698419,0.022291166
30857,-1.414902344,2.445174479,-5.009302334,0.000234977,0.001698433,0.022107389
24475,-0.932210938,-0.686674479,-5.008952102,0.000235123,0.001699199,0.021466393
25059,-1.367015625,-1.93309375,-5.007683962,0.000235652,0.001702536,0.01914532
33772,-1.442863281,1.962416667,-5.007654044,0.000235664,0.001702536,0.019090557
30711,1.75984375,1.253223958,5.006524771,0.000236137,0.001705658,0.017023486
35107,1.363253906,-1.544320313,5.006196163,0.000236274,0.001706362,0.016421959
21614,-0.695960938,0.048950521,-5.006069976,0.000236327,0.001706455,0.016190964
37936,-1.106765625,1.627609375,-5.005715819,0.000236475,0.001707237,0.015542649
17619,-1.808511719,-0.974903646,-5.005168783,0.000236705,0.001708554,0.014541223
37503,1.196800781,-0.2726875,5.005089965,0.000236738,0.001708554,0.014396931
23402,0.998910156,-0.341010417,5.004966512,0.00023679,0.001708638,0.014170927
12786,-1.389929688,1.277619792,-5.004657871,0.000236919,0.001709284,0.013605894
23424,0.985296875,0.268869792,5.004480148,0.000236994,0.001709533,0.013280528
35752,-1.163269531,-1.481752604,-5.003714059,0.000237316,0.001711567,0.011877971
14161,-1.953679688,-2.990375,-5.003582149,0.000237372,0.001711678,0.011636462
24450,-1.665898438,0.879052083,-5.003254016,0.00023751,0.001712384,0.011035689
21604,3.88178125,0.448364583,5.002916971,0.000237652,0.001713118,0.010418585
3420,-0.79353125,-0.318643229,-5.002791595,0.000237705,0.001713209,0.010189028
8734,1.678199219,-0.047229167,5.002668527,0.000237756,0.001713293,0.009963695
5944,-0.978433594,-1.292523438,-5.001372163,0.000238304,0.001716946,0.007589987
12115,-0.807785156,0.170359375,-5.001053949,0.000238438,0.001717624,0.00700729
17187,1.238617188,-1.007572917,5.000736798,0.000238572,0.0017183,0.00642653
13280,-1.529726563,-2.682869792,-4.999628894,0.000239041,0.001721389,0.004397659
23455,0.915699219,0.115799479,4.998651707,0.000239456,0.001724083,0.002608045
2341,-0.804167969,0.051393229,-4.998496981,0.000239522,0.001724265,0.002324671
7666,-1.291355469,0.981661458,-4.99837797,0.000239572,0.001724338,0.002106705
17615,-0.930363281,-0.199234375,-4.998099683,0.000239691,0.001724898,0.001597021
18983,-0.884933594,0.484924479,-4.997701387,0.00023986,0.001725678,0.000867526
41107,-1.308246094,-2.463671875,-4.997535619,0.00023993,0.001725678,0.000563911
7657,1.086007813,-0.114700521,4.997476334,0.000239956,0.001725678,0.000455325
10619,-1.034027344,-0.474765625,-4.997464202,0.000239961,0.001725678,0.000433103
7444,-1.749542969,-1.148559896,-4.997064677,0.000240131,0.00172661,-0.000298673
21388,-1.642183594,1.938445313,-4.99694787,0.000240181,0.001726676,-0.000512621
20857,-1.494648438,-2.067536458,-4.996610818,0.000240324,0.001727417,-0.001129992
33308,1.664339844,-0.508552083,4.995682449,0.00024072,0.001729973,-0.002830532
29658,2.146171875,-0.663023438,4.995200613,0.000240926,0.001730919,-0.003713175
6055,-1.642503906,3.339276042,-4.995119884,0.000240961,0.001730919,-0.003861059
6470,-0.726597656,-0.43675,-4.995089251,0.000240974,0.001730919,-0.003917175
27850,2.595003906,-0.978526042,4.994646573,0.000241163,0.001731987,-0.004728118
20324,-1.6560625,2.098854167,-4.99439876,0.000241269,0.001732445,-0.005182097
5023,-1.257847656,-0.824372396,-4.994307484,0.000241308,0.001732445,-0.00534931
18987,-1.525640625,1.898640625,-4.994025836,0.000241429,0.001732957,-0.005865286
7816,-1.155730469,0.372072917,-4.993951302,0.000241461,0.001732957,-0.006001832
25018,-1.280972656,-0.893135417,-4.992923659,0.000241902,0.001735827,-0.007884549
42403,-0.856890625,-0.704005208,-4.992807412,0.000241951,0.001735893,-0.008097528
18610,-0.926695313,0.630273438,-4.992374059,0.000242138,0.001736936,-0.008891507
537,-1.099121094,-1.319080729,-4.991861478,0.000242358,0.001738224,-0.009830672
18325,1.153742188,-0.220091146,4.991203976,0.000242641,0.00173996,-0.011035412
41310,4.912519531,-0.390036458,4.990525073,0.000242933,0.001741765,-0.012279418
15112,-1.059796875,0.537804688,-4.990287072,0.000243036,0.001742207,-0.012715538
20940,-1.931835938,-0.618117188,-4.989706872,0.000243286,0.001743463,-0.013778745
3519,4.673597656,-2.061809896,4.989630927,0.000243319,0.001743463,-0.013917915
21425,-0.827152344,-1.514244792,-4.989596923,0.000243334,0.001743463,-0.013980228
25492,-0.928484375,-0.405471354,-4.989041792,0.000243574,0.001744888,-0.014997539
14541,-1.005570313,0.762520833,-4.988627011,0.000243753,0.00174588,-0.015757674
1597,-1.035890625,-1.841414063,-4.988478433,0.000243817,0.001746047,-0.016029967
11310,-1.142207031,0.001369792,-4.98825762,0.000243913,0.001746438,-0.016434644
33624,-1.344640625,2.070427083,-4.987652582,0.000244175,0.001748021,-0.017543512
11343,-0.886917969,-0.763533854,-4.986372804,0.00024473,0.001751702,-0.019889133
34017,1.3671875,-0.465669271,4.985599188,0.000245067,0.001753815,-0.021307138
32452,0.880324219,-0.584429688,4.985029789,0.000245315,0.001755163,-0.022350867
22209,-0.934984375,-0.944497396,-4.984977264,0.000245337,0.001755163,-0.022447149
14632,-1.219152344,1.716994792,-4.983677885,0.000245904,0.001758848,-0.024829111
8207,-1.343128906,1.846856771,-4.983607008,0.000245935,0.001758848,-0.024959045
24716,-1.676246094,-0.406697917,-4.983254036,0.000246089,0.001759655,-0.025606134
17819,-0.916699219,0.843070313,-4.982910965,0.000246239,0.001760432,-0.026235087
23229,-0.828613281,0.381307292,-4.982502061,0.000246418,0.001761416,-0.026984748
4785,-1.244179688,1.55196875,-4.982027568,0.000246626,0.001762605,-0.027854683
37713,2.711101563,-0.947182292,4.981567325,0.000246827,0.00176375,-0.028698517
30561,1.999722656,-0.92034375,4.981120402,0.000247023,0.001764855,-0.029517953
26937,1.817054688,-0.249213542,4.980880938,0.000247128,0.001765309,-0.029957022
22105,-1.23559375,1.195432292,-4.98070405,0.000247206,0.001765568,-0.030281359
7266,1.492128906,0.371341146,4.980030079,0.000247502,0.001767108,-0.031517167
42267,-3.700214844,-0.172408854,-4.980024466,0.000247505,0.001767108,-0.031527459
36404,1.536820313,0.308414063,4.979711297,0.000247642,0.001767795,-0.032101712
11456,-1.865019531,2.839596354,-4.97957684,0.000247701,0.001767921,-0.032348266
14352,2.149027344,-1.393388021,4.979053374,0.000247932,0.00176927,-0.033308171
1991,-0.787320313,-0.897588542,-4.978585913,0.000248138,0.001770228,-0.034165404
2225,-0.755324219,-0.528231771,-4.97856004,0.000248149,0.001770228,-0.034212851
9872,1.771496094,0.729236979,4.978460608,0.000248193,0.001770244,-0.034395193
15089,-1.109933594,1.881526042,-4.978349758,0.000248242,0.001770297,-0.034598476
34203,0.82990625,-0.950114583,4.976746959,0.00024895,0.001775047,-0.037537938
13773,-1.208296875,2.256953125,-4.976609089,0.000249011,0.001775185,-0.0377908
16717,-0.970675781,0.19421875,-4.976389332,0.000249108,0.001775533,-0.038193853
18133,1.054917969,0.281221354,4.976310442,0.000249143,0.001775533,-0.038338545
4253,-1.657007813,3.772695313,-4.975781506,0.000249377,0.001776876,-0.039308683
23578,1.590015625,-0.122096354,4.975696777,0.000249415,0.001776876,-0.039464091
41128,-1.229660156,1.838117188,-4.97522444,0.000249624,0.00177807,-0.040330453
